Deputado,Partido,Voto,Estado
AJ Albuquerque,PP,Sim,CE
Acácio Favacho,MDB,Sim,AP
Adail Filho,Republicanos,Sim,AM
Adilson Barroso,PL,Sim,SP
Adolfo Viana,PSDB,Sim,BA
Adriana Ventura,Novo,Não,SP
Adriano do Baldy,PP,Sim,GO
Aécio Neves,PSDB,Não,MG
Afonso Hamm,PP,Sim,RS
Afonso Motta,PDT,Não votou,RS
Aguinaldo Ribeiro,PP,Sim,PB
Airton Faleiro,PT,Não,PA
Alberto Fraga,PL,Sim,DF
Albuquerque,Republicanos,Sim,RR
Alceu Moreira,MDB,Sim,RS
Alencar Santana,PT,Não,SP
Alex Manente,Cidadania,Sim,SP
Alex Santana,Republicanos,Não votou,BA
Alexandre Guimarãe,MDB,Sim,TO
Alfredinho,PT,Sim,SP
Alfredo Gaspar,União,Não votou,AL
Alice Portugal,PCdoB,Não,BA
Aliel Machado,PV,Sim,PR
Aline Gurgel,Republicanos,Sim,AP
Allan Garcês,PP,Sim,MA
Altineu Côrtes,PL,Sim,RJ
Aluisio Mendes,Republicanos,Sim,MA
Amanda Gentil,PP,Sim,MA
Amaro Neto,Republicanos,Sim,ES
Amom Mandel,Cidadania,Não,AM
Ana Paula Leão,PP,Sim,MG
Ana Paula Lima,PT,Não,SC
Ana Pimentel,PT,Não,MG
André Abdon,PP,Sim,AP
André Fernandes,PL,Sim,CE
André Ferreira,PL,Sim,PE
André Figueiredo,PDT,Sim,CE
Andreia Siqueira,MDB,Sim,PA
Antônia Lúcia,Republicanos,Sim,AC
Antonio Andrade,Republicanos,Sim,TO
Antonio Brito,PSD,Não,BA
Antonio Carlos R.,PL,Sim,SP
Antônio Doido,MDB,Sim,PA
Any Ortiz,Cidadania,Sim,RS
Arlindo Chinaglia,PT,Não,SP
Arnaldo Jardim,Cidadania,Sim,SP
Arthur Lira,PP,Sim,AL
Arthur O. Maia,União,Sim,BA
Átila Lins,PSD,Não,AM
Átila Lira,PP,Sim,PI
Augusto Coutinho,Republicanos,Sim,PE
Aureo Ribeiro,Solidariede,Sim,RJ
Bacelar,PV,Sim,BA
Baleia Rossi,MDB,Não,SP
Bandeira de Mello,PSB,Não,RJ
Bebeto,PP,Sim,RJ
Benedita da Silva,PT,Não,RJ
Benes Leocádio,União,Sim,RN
Beto Pereira,PSDB,Sim,MS
Beto Richa,PSDB,Sim,PR
Bia Kicis,PL,Sim,DF
Bibo Nunes,PL,Sim,RS
Bohn Gass,PT,Não,RS
Bruno Farias,Avante,Sim,MG
Bruno Ganem,PODE,Sim,SP
Caio Vianna,PSD,Não,RJ
Camila Jara,PT,Não votou,MS
Cap. Alberto Neto,PL,Sim,AM
Capitão Alden,PL,Sim,BA
Capitão Augusto,PL,Não votou,SP
Carla Dickson,União,Sim,RN
Carlos Gaguim,União,Sim,TO
Carlos Jordy,PL,Sim,RJ
Carlos Sampaio,PSD,Não,SP
Carlos Veras,PT,Não,PE
Carlos Zarattini,PT,Não,SP
Carol Dartora,PT,Não votou,PR
Caroline de Toni,PL,Sim,SC
Castro Neto,PSD,Sim,PI
Cb Gilberto Silva,PL,Sim,PB
Cel. Chrisóstomo,PL,Sim,RO
Célia Xakriabá,PSOL,Não,MG
Célio Silveira,MDB,Sim,GO
Célio Studart,PSD,Não,CE
Celso Russomanno,Republicanos,Sim,SP
Cezinha Madureira,PSD,Sim,SP
Charles Fernandes,PSD,Não,BA
Chico Alencar,PSOL,Não,RJ
Chris Tonietto,PL,Sim,RJ
Clarissa Tércio,PP,Sim,PE
Claudio Cajado,PP,Sim,BA
Cleber Verde,MDB,Sim,MA
Clodoaldo Magalhãe,PV,Não,PE
Cobalchini,MDB,Sim,SC
Coronel Assis,União,Sim,MT
Coronel Fernanda,PL,Sim,MT
Coronel Meira,PL,Sim,PE
Coronel Ulysses,União,Sim,AC
Covatti Filho,PP,Sim,RS
Cristiane Lopes,União,Não,RO
Da Vitoria,PP,Sim,ES
Dagoberto Nogueira,PSDB,Não votou,MS
Daiana Santos,PCdoB,Não,RS
Dal Barreto,União,Sim,BA
Damião Feliciano,União,Sim,PB
Dandara,PT,Não,MG
Dani Cunha,União,Sim,RJ
Daniel Agrobom,PL,Sim,GO
Daniel Almeida,PCdoB,Não,BA
Daniel Barbosa,PP,Não,AL
Daniel Freitas,PL,Sim,SC
Daniel Trzeciak,PSDB,Não,RS
Daniela Reinehr,PL,Sim,SC
Daniela Waguinho,União,Não,RJ
Danilo Forte,União,Sim,CE
Danrlei,PSD,Sim,RS
David Soares,União,Sim,SP
Dayany Bittencourt,União,Sim,CE
Def. Stélio Dener,Republicanos,Sim,RR
Del. Adriana A.,PT,Não,GO
Del. Bruno Lima,PP,Não,SP
Del. Éder Mauro,PL,Sim,PA
Del. Fabio Costa,PP,Sim,AL
Del. Matheus L.,União,Sim,PR
Delegada Ione,Avante,Sim,MG
Delegada Katarina,PSD,Não,SE
Delegado Bilynskyj,PL,Sim,SP
Delegado Caveira,PL,Sim,PA
Delegado Marcelo,União,Sim,MG
Delegado Palumbo,MDB,Não,SP
Delegado Ramagem,PL,Sim,RJ
Delegado da Cunha,PP,Sim,SP
Denise Pessôa,PT,Não,RS
Detinha,PL,Sim,MA
Diego Andrade,PSD,Sim,MG
Diego Coronel,PSD,Sim,BA
Diego Garcia,Republicanos,Sim,PR
Dilceu Sperafico,PP,Sim,PR
Dilvanda Faro,PT,Sim,PA
Dimas Fabiano,PP,Sim,MG
Dimas Gadelha,PT,Não,RJ
Domingos Neto,PSD,Não votou,CE
Domingos Sávio,PL,Sim,MG
Dorinaldo Malafaia,PDT,Não,AP
Douglas Viegas,União,Não,SP
Doutor Luizinho,PP,Sim,RJ
Dr Fernando Máximo,União,Sim,RO
Dr Victor Linhalis,PODE,Sim,ES
Dr. Francisco,PT,Sim,PI
Dr. Frederico,PRD,Sim,MG
Dr. Ismael Alexand,PSD,Sim,GO
Dr. Jaziel,PL,Sim,CE
Dr. Luiz Ovando,PP,Sim,MS
Dr.Zacharias Calil,União,Sim,GO
Dra. Alessandra H.,MDB,Sim,PA
Duarte Jr.,PSB,Não,MA
Duda Ramos,MDB,Sim,RR
Duda Salabert,PDT,Não,MG
Eduardo Velloso,União,Sim,AC
Eduardo da Fonte,PP,Sim,PE
EduardoBolsonaro,PL,Não votou,SP
Elcione Barbalho,MDB,Não votou,PA
Eli Borges,PL,Sim,TO
Elmar Nascimento,União,Sim,BA
Ely Santos,Republicanos,Sim,SP
Emanuel Pinheiro N,MDB,Não,MT
Emidinho Madeira,PL,Não votou,MG
Enf. Ana Paula,PODE,Sim,CE
Enfermeira Rejane,PCdoB,Não,RJ
Eriberto Medeiros,PSB,Sim,PE
Erika Hilton,PSOL,Não,SP
Erika Kokay,PT,Não,DF
Eros Biondini,PL,Sim,MG
Euclydes Pettersen,Republicanos,Sim,MG
Evair de Melo,PP,Sim,ES
Fábio Macedo,PODE,Sim,MA
Fabio Reis,PSD,Não,SE
Fabio Schiochet,União,Sim,SC
,,,
Fábio Teruel,MDB,Sim,SP
Fausto Pinato,PP,Sim,SP
Fausto Santos Jr.,União,Sim,AM
Felipe Becari,União,Sim,SP
Felipe Carreras,PSB,Sim,PE
Felipe Francischin,União,Sim,PR
Félix Mendonça Jr,PDT,Sim,BA
Fernanda Pessôa,União,Sim,CE
FernandaMelchionna,PSOL,Não,RS
Fernando Coelho,União,Sim,PE
Fernando Mineiro,PT,Não,RN
Fernando Monteiro,Republicanos,Sim,PE
Fernando Rodolfo,PL,Sim,PE
Filipe Barros,PL,Sim,PR
Filipe Martins,PL,Sim,TO
Flávia Morais,PDT,Não,GO
Flávio Nogueira,PT,Sim,PI
Florentino Neto,PT,Sim,PI
Franciane Bayer,Republicanos,Sim,RS
Fred Costa,PRD,Sim,MG
Fred Linhares,Republicanos,Sim,DF
Gabriel Mota,Republicanos,Sim,RR
Gabriel Nunes,PSD,Sim,BA
General Girão,PL,Sim,RN
General Pazuello,PL,Sim,RJ
Geovania de Sá,PSDB,Sim,SC
Geraldo Mendes,União,Sim,PR
Geraldo Resende,PSDB,Não,MS
Gervásio Maia,PSB,Sim,PB
Giacobo,PL,Sim,PR
Gilberto Abramo,Republicanos,Sim,MG
GilbertoNascimento,PSD,Sim,SP
Gilson Daniel,PODE,Não,ES
Gilson Marques,Novo,Não,SC
Gilvan da Federal,PL,Sim,ES
Giovani Cherini,PL,Sim,RS
Gisela Simona,União,Sim,MT
Glauber Braga,PSOL,Não,RJ
Greyce Elias,Avante,Sim,MG
Guilherme Boulos,PSOL,Não,SP
Guilherme Uchoa,PSB,Sim,PE
Gustavo Gayer,PL,Sim,GO
Gustinho Ribeiro,Republicanos,Sim,SE
Gutemberg Reis,MDB,Sim,RJ
Heitor Schuch,PSB,Não votou,RS
Helder Salomão,PT,Não,ES
Helena Lima,MDB,Sim,RR
Helio Lopes,PL,Sim,RJ
Henderson Pinto,MDB,Sim,PA
Hercílio Diniz,MDB,Sim,MG
Hildo Rocha,MDB,Sim,MA
Hugo Leal,PSD,Sim,RJ
Hugo Motta,Republicanos,Sim,PB
Icaro de Valmir,PL,Não votou,SE
Igor Timo,PSD,Sim,MG
Ismael,PSD,Sim,SC
Isnaldo Bulhões Jr,MDB,Sim,AL
Ivan Valente,PSOL,Não,SP
Ivoneide Caetano,PT,Não,BA
Iza Arruda,MDB,Não votou,PE
Jack Rocha,PT,Não,ES
Jadyel Alencar,Republicanos,Sim,PI
Jandira Feghali,PCdoB,Não,RJ
Jeferson Rodrigues,Republicanos,Sim,GO
Jefferson Campos,PL,Sim,SP
Jilmar Tatto,PT,Sim,SP
João Cury,MDB,Sim,SP
João Daniel,PT,Não,SE
João Leão,PP,Não votou,BA
João Maia,PP,Sim,RN
JoãoCarlosBacelar,PL,Não votou,BA
Joaquim Passarinho,PL,Sim,PA
Jonas Donizette,PSB,Sim,SP
Jorge Braz,Republicanos,Sim,RJ
Jorge Goetten,Republicanos,Sim,SC
Jorge Solla,PT,Não,BA
José Airton,PT,Não votou,CE
José Guimarães,PT,Não votou,CE
José Medeiros,PL,Sim,MT
José Nelto,União,Sim,GO
José Priante,MDB,Sim,PA
José Rocha,União,Sim,BA
Joseildo Ramos,PT,Não,BA
Josenildo,PDT,Não votou,AP
Josias Gomes,PT,Não,BA
JosimarMaranhãozi,PL,Sim,MA
Josivaldo JP,PSD,Sim,MA
Juarez Costa,MDB,Não,MT
Julia Zanatta,PL,Sim,SC
Juliana Cardoso,PT,Não,SP
Julio Arcoverde,PP,Sim,PI
Júlio Cesar,PSD,Sim,PI
Julio Cesar Ribeir,Republicanos,Sim,DF
Julio Lopes,PP,Sim,RJ
Juninho do Pneu,União,Sim,RJ
Junio Amaral,PL,Sim,MG
Júnior Ferrari,PSD,Não,PA
Junior Lourenço,PL,Sim,MA
Júnior Mano,PSB,Sim,CE
Juscelino Filho,União,Sim,MA
Keniston Braga,MDB,Não votou,PA
Kiko Celeguim,PT,Sim,SP
Kim Kataguiri,União,Não,SP
Lafayette Andrada,Republicanos,Sim,MG
Laura Carneiro,PSD,Não,RJ
Lêda Borges,PSDB,Sim,GO
Lenir de Assis,PT,Não,PR
Leo Prates,PDT,Sim,BA
Leonardo Monteiro,PT,Não,MG
Leônidas Cristino,PDT,Não votou,CE
Leur Lomanto Jr.,União,Sim,BA
Lídice da Mata,PSB,Não,BA
Lincoln Portela,PL,Sim,MG
Lindbergh Farias,PT,Não,RJ
Lindenmeyer,PT,Não,RS
Lucas Ramos,PSB,Sim,PE
Lucas Redecker,PSDB,Não,RS
Luciano Alves,PSD,Não,PR
Luciano Amaral,PSD,Sim,AL
Luciano Bivar,União,Sim,PE
Luciano Ducci,PSB,Não,PR
Luciano Vieira,Republicanos,Sim,RJ
Lucio Mosquini,MDB,Não votou,RO
Luis Carlos Gomes,Republicanos,Sim,RJ
Luis Tibé,Avante,Sim,MG
Luisa Canziani,PSD,Sim,PR
Luiz Carlos Busato,União,Sim,RS
Luiz Carlos Hauly,PODE,Não,PR
Luiz Carlos Motta,PL,Sim,SP
Luiz Couto,PT,Não,PB
Luiz F. Vampiro,MDB,Sim,SC
Luiz Fernando,PSD,Sim,MG
Luiz Gastão,PSD,Não,CE
Luiz Lima,Novo,Não,RJ
Luiz Nishimori,PSD,Não,PR
Luiz P.O Bragança,PL,Não votou,SP
LuizAntônioCorrêa,PP,Sim,RJ
Luiza Erundina,PSOL,Não,SP
Luizianne Lins,PT,Não votou,CE
Lula da Fonte,PP,Sim,PE
Magda Mofatto,PRD,Sim,GO
Marangoni,União,Sim,SP
Marcel van Hattem,Novo,Não,RS
Marcelo Álvaro,PL,Sim,MG
Marcelo Crivella,Republicanos,Sim,RJ
Marcelo Moraes,PL,Sim,RS
Marcio Alvino,PL,Sim,SP
Márcio Biolchi,MDB,Sim,RS
Márcio Honaiser,PDT,Sim,MA
Márcio Jerry,PCdoB,Não,MA
Márcio Marinho,Republicanos,Sim,BA
Marcon,PT,Não,RS
Marcos A. Sampaio,PSD,Sim,PI
Marcos Pereira,Republicanos,Sim,SP
Marcos Pollon,PL,Sim,MS
Marcos Soares,União,Sim,RJ
Marcos Tavares,PDT,Sim,RJ
Maria Arraes,Solidariede,Não,PE
Maria Rosas,Republicanos,Sim,SP
Maria do Rosário,PT,Não,RS
Mario Frias,PL,Sim,SP
Mário Heringer,PDT,Sim,MG
Mário Negromonte J,PP,Sim,BA
Marreca Filho,PRD,Sim,MA
Marussa Boldrin,MDB,Sim,GO
Marx Beltrão,PP,Sim,AL
Matheus Noronha,PL,Sim,CE
Maurício Carva lho,União,Sim,RO
Mauricio Marcon,PODE,Sim,RS
Mauricio Neves,PP,Sim,SP
Mauricio do Vôlei,PL,Sim,MG
MauroBenevides Fo.,PDT,Sim,CE
Max Lemos,PDT,Sim,RJ
Meire Serafim,União,Sim,AC
Mendonça Filho,União,Sim,PE
Merlong Solano,PT,Sim,PI
Mersinho Lucena,PP,Não votou,PB
Messias Donato,Republicanos,Sim,ES
Miguel Ângelo,PT,Não,MG
Miguel Lombardi,PL,Sim,SP
Mis. José Olimpio,PL,Sim,SP
Misael Varella,PSD,Não votou,MG
Moses Rodrigues,União,Sim,CE
Murillo Gouvea,União,Sim,RJ
Murilo Galdino,Republicanos,Sim,PB
Natália Bonavides,PT,Não,RN
Nelinho Freitas,MDB,Sim,CE
Nelson Barbudo,PL,Sim,MT
Nely Aquino,PODE,Sim,MG
Neto Carletto,Avante,Sim,BA
Newton Cardoso Jr,MDB,Sim,MG
Nicoletti,União,Sim,RR
Nikolas Ferreira,PL,Sim,MG
Nilto Tatto,PT,Não,SP
Odair Cunha,PT,Sim,MG
Olival Marques,MDB,Sim,PA
Orlando Silva,PCdoB,Não,SP
Osmar Terra,PL,Sim,RS
Ossesio Silva,Republicanos,Sim,PE
Otoni de Paula,MDB,Não,RJ
Otto Alencar Filho,PSD,Não,BA
Padovani,União,Sim,PR
Padre João,PT,Não,MG
Pastor Claudio Mar,União,Sim,PA
Pastor Diniz,União,Sim,RR
Pastor Eurico,PL,Sim,PE
Pastor Gil,PL,Sim,MA
Pastor Henrique V.,PSOL,Não,RJ
Pastor Isidório,Avante,Não,BA
Patrus Ananias,PT,Não,MG
Pauderney Avelino,União,Sim,AM
Paulão,PT,Não,AL
Paulinho da Força,Solidariede,Sim,SP
Paulo A. Barbosa,PSDB,Não,SP
Paulo Abi-Ackel,PSDB,Sim,MG
Paulo Azi,União,Sim,BA
Paulo Folletto,PSB,Sim,ES
Paulo Freire Costa,PL,Sim,SP
Paulo Guedes,PT,Sim,MG
Paulo Lemos,PSOL,Não,AP
Paulo Litro,PSD,Sim,PR
Paulo Magalhães,PSD,Sim,BA
Paulo Pimenta,PT,Não,RS
Pedro A ihara,PRD,Sim,MG
Pedro Campos,PSB,Sim,PE
Pedro Lucas F.,União,Sim,MA
Pedro Lupion,PP,Sim,PR
Pedro Paulo,PSD,Sim,RJ
Pedro Uczai,PT,Não,SC
Pedro Westphalen,PP,Sim,RS
Pezenti,MDB,Sim,SC
Pinheirinho,PP,Sim,MG
Pompeo de Mattos,PDT,Não votou,RS
Pr.Marco Feliciano,PL,Sim,SP
Prof Marcivania,PCdoB,Não,AP
Prof. Reginaldo V.,PV,Não,DF
Professor Alcides,PL,Sim,GO
Professora Luciene,PSOL,Não,SP
Rafael Brito,MDB,Não votou,AL
Rafael Fera,PODE,Sim,RO
Rafael Prudente,MDB,Sim,DF
Rafael Simoes,União,Sim,MG
Raimundo Costa,PODE,Sim,BA
Raimundo Santos,PSD,Sim,PA
Reginaldo Lopes,PT,Não,MG
Reimont,PT,Não,RJ
Reinhold Stephanes,PSD,Sim,PR
Renata Abreu,PODE,Sim,SP
Renilce Nicodemos,MDB,Sim,PA
Renildo Calheiros,PCdoB,Não,PE
Ribamar Silva,PSD,Não,SP
Ricardo Abrão,União,Sim,RJ
Ricardo Ayres,Republicanos,Sim,TO
Ricardo Barros,PP,Sim,PR
Ricardo Guidi,PL,Sim,SC
Ricardo Maia,MDB,Sim,BA
Ricardo Salles,Novo,Não votou,SP
Robério Monteiro,PDT,Sim,CE
Roberta Roma,PL,Sim,BA
Roberto Duarte,Republicanos,Sim,AC
Roberto Monteiro,PL,Sim,RJ
Robinson Faria,PP,Sim,RN
Rodolfo Nogueira,PL,Sim,MS
Rodrigo Estacho,PSD,Sim,PR
Rodrigo Gambale,PODE,Sim,SP
Rodrigo Rollemberg,PSB,Não,DF
Rodrigo Valadares,União,Sim,SE
Rodrigo da Zaeli,PL,Sim,MT
Rodrigo de Castro,União,Sim,MG
Rogéria Santos,Republicanos,Sim,BA
Rogério Correia,PT,Não,MG
Romero Rodrigues,PODE,Sim,PB
Ronaldo Nogueira,Republicanos,Sim,RS
Rosana Valle,PL,Sim,SP
Rosangela Moro,União,Não,SP
Rosângela Reis,PL,Sim,MG
Rubens Otoni,PT,Não,GO
Rubens Pereira Jr.,PT,Não,MA
Rui Falcão,PT,Não,SP
Ruy Carneiro,PODE,Não,PB
Sâmia Bomfim,PSOL,Não,SP
Samuel Santos,PODE,Sim,GO
Samuel Viana,Republicanos,Sim,MG
Sanderson,PL,Sim,RS
Sargento Fahur,PSD,Sim,PR
Sargento Portugal,PODE,Sim,RJ
Saulo Pedroso,PSD,Não,SP
Sergio Souza,MDB,Sim,PR
Sgt. Gonçalves,PL,Sim,RN
Sidney Leite,PSD,Não,AM
Silas Câmara,Republicanos,Sim,AM
Silvia Cristina,PP,Sim,RO
Silvye Alves,União,Sim,GO
Simone Marquetto,MDB,Sim,SP
Socorro Neri,PP,Não,AC
Soraya Santos,PL,Sim,RJ
Sóstenes Cavalcant,PL,Sim,RJ
Stefano Aguiar,PSD,Não votou,MG
Tabata Amaral,PSB,Não,SP
Tadeu Veneri,PT,Não,PR
Talíria Petrone,PSOL,Não,RJ
Tarcísio Motta,PSOL,Não,RJ
Thiago Flores,Republicanos,Não votou,RO
Thiago de Joaldo,PP,Sim,SE
Tiago Dimas,PODE,Sim,TO
Tião Medeiros,PP,Sim,PR
Tiririca,PL,Sim,SP
ToninhoWandscheer,PP,Sim,PR
Túlio Gadêl ha,Rede,Não,PE
Valmir Assunção,PT,Não,BA
Vander Loubet,PT,Não,MS
Vermelho,PP,Sim,PR
Vicentinho,PT,Não,SP
Vicentinho Júnior,PP,Sim,TO
Vinicius Carvalho,Republicanos,Sim,SP
Vinicius Gurgel,PL,Sim,AP
Vitor Lippi,PSDB,Não,SP
Waldemar Oliveira,Avante,Sim,PE
Waldenor Pereira,PT,Não,BA
Weliton Prado,Solidariede,Não,MG
Wellington Roberto,PL,Sim,PB
Welter,PT,Não,PR
Wilson Santiago,Republicanos,Sim,PB
Yandra Moura,União,Não votou,SE
Yury do Paredão,MDB,Sim,CE
Zé Adriano,PP,Sim,AC
Zé Neto,PT,Não,BA
Zé Silva,Solidariede,Não votou,MG
Zé Trovão,PL,Sim,SC
Zé Vitor,PL,Sim,MG
ZéHaroldoCathedral,PSD,Não,RR
Zeca Dirceu,PT,Não votou,PR
Zezinho Barbary,PP,Sim,AC
Zucco,PL,Sim,RS
